Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
435Sudoku.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,3240,543
435Sudoku.csp,MAC,1,ASCENDING,ASCENDING,1,81,10127,491
435Sudoku.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,81,3240,511
435Sudoku.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,10127,544
SimonisSudoku.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,3240,537
SimonisSudoku.csp,MAC,1,ASCENDING,ASCENDING,1,81,10488,532
SimonisSudoku.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,81,3240,528
SimonisSudoku.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,81,10488,678
435Sudoku.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,81,10127,550
435Sudoku.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,81,10127,514
SimonisSudoku.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,81,10488,496
SimonisSudoku.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,10488,547
435Sudoku.csp,FC,1,ASCENDING,ASCENDING,1,201,7030,612
435Sudoku.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,179,6116,674
SimonisSudoku.csp,FC,1,ASCENDING,ASCENDING,1,295,8783,697
SimonisSudoku.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,267,7638,819
